song_id,tempo_bpm,onset_strength_mean,onset_strength_std,beat_interval_mean,beat_interval_std,beat_interval_cv,bpm_first_peak,bpm_first_weight,bpm_first_spread,bpm_second_peak,bpm_second_weight,bpm_second_spread,bpm_peak_ratio,bpm_histogram_entropy,rhythm_transform_mean,rhythm_transform_std,rhythm_transform_max,rhythm_transform_entropy,beats_loudness_mean,beats_loudness_std,beats_low_ratio,beats_mid_ratio,beats_high_ratio,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,spectral_centroid_mean,spectral_centroid_std,spectral_contrast_mean,inharmonicity_mean,inharmonicity_std,chroma_entropy,major_alignment,minor_alignment,hpcp_0,hpcp_1,hpcp_2,hpcp_3,hpcp_4,hpcp_5,hpcp_6,hpcp_7,hpcp_8,hpcp_9,hpcp_10,hpcp_11,hpcp_entropy,hpcp_std,hpcp_max,hpcp_temporal_std,key_strength,is_minor,key_cos,key_sin
A002,135.99917763157896,1.0047014951705933,0.9351102709770203,0.44903820753097534,0.006787423510104418,0.015115469900489951,133.0,0.5538461804389954,0.44615381956100464,0.0,0.0,0.0,0.0,1.2498493194580078,3.62726095772814e-05,8.38267442304641e-05,0.0007276675896719098,8.622159957885742,0.0,0.0,0.0,0.0,0.0,-213.81585693359375,180.7707061767578,-29.29265785217285,52.03289031982422,-11.738510131835938,1874.8558349609375,950.7971801757812,23.818450927734375,0.1488223373889923,0.09482773393392563,3.5670308566683193,0.606463400494123,0.603589851820435,0.06072129309177399,0.020077798515558243,0.04562033712863922,0.1979304850101471,0.039923086762428284,0.16160449385643005,0.03126199170947075,0.07934396713972092,0.1296246349811554,0.030235975980758667,0.177398219704628,0.02625793218612671,3.196342945098877,0.062499016523361206,0.1979304850101471,0.11746319383382797,0.9004733562469482,0.0,1.0,0.0
A014,172.265625,1.3414632081985474,1.169756293296814,0.3471935987472534,0.010387182235717773,0.029917551110380153,172.0,0.6666666865348816,0.0,178.0,0.2261904776096344,0.0,0.3392857063029496,1.4556819200515747,0.00038360420148819685,0.0009371955529786646,0.011615007184445858,8.803396224975586,0.0,0.0,0.0,0.0,0.0,-92.59077453613281,114.75914001464844,-24.570016860961914,55.9305419921875,-26.570337295532227,4191.60400390625,1291.9754638671875,20.408916473388672,0.160641610622406,0.08717340230941772,3.5747743384605153,0.5859104397067619,0.5811216191044107,0.17215317487716675,0.06186732277274132,0.05703401193022728,0.0658726915717125,0.06958036124706268,0.11411162465810776,0.07266569137573242,0.09223685413599014,0.04904402419924736,0.04870782420039177,0.12249498814344406,0.07423142343759537,3.4716620445251465,0.03496064618229866,0.17215317487716675,0.09960275143384933,0.8850021362304688,1.0,-1.8369701987210297e-16,-1.0
A090-94,95.703125,1.2800734043121338,0.999407172203064,0.6299675107002258,0.008873283863067627,0.014085303944015673,96.0,0.739130437374115,0.24444442987442017,89.0,0.021739130839705467,0.0,0.029411765150596937,1.1980459690093994,0.0007809351664036512,0.0029310097452253103,0.03116498701274395,7.414173603057861,0.0,0.0,0.0,0.0,0.0,-141.15975952148438,141.3374481201172,-22.913883209228516,49.391754150390625,-15.144701957702637,2638.904052734375,1176.79833984375,20.8560733795166,0.15835292637348175,0.0914716124534607,3.578091517726486,0.5871240273853185,0.5751296291953353,0.08837442845106125,0.07137664407491684,0.128915935754776,0.06285117566585541,0.07775677740573883,0.1271611899137497,0.05262168124318123,0.080301433801651,0.07394523173570633,0.11759701371192932,0.060442570596933365,0.05865606293082237,3.5193262100219727,0.02576356567442417,0.128915935754776,0.11403533071279526,0.9297865629196167,1.0,0.8660254037844384,-0.5000000000000004
A120-168,107.666015625,0.8179667592048645,0.30405375361442566,0.6113764047622681,0.04391839727759361,0.07183528336307181,96.0,0.19148936867713928,0.6538461446762085,89.0,0.12765957415103912,0.25,0.6666666407276093,3.013329267501831,3.7019083265477093e-06,1.2316769243625458e-05,0.00025633227778598666,8.386667251586914,0.0,0.0,0.0,0.0,0.0,-288.593994140625,193.65953063964844,3.814970016479492,19.155046463012695,18.540719985961914,1077.5859375,605.1597900390625,25.304485321044922,0.1940869390964508,0.10528284311294556,3.5322871439283734,0.5704526709789566,0.5551233773798183,0.21416844427585602,0.007788518443703651,0.10853572189807892,0.008382781408727169,0.173111692070961,0.12077503651380539,0.02506709285080433,0.18682298064231873,0.009876399300992489,0.06599264591932297,0.005723667796701193,0.0737549215555191,2.97265887260437,0.07328955829143524,0.21416844427585602,0.10638701170682907,0.9715238809585571,0.0,-1.8369701987210297e-16,-1.0
A148-102,129.19921875,0.9374691247940063,0.6022800207138062,0.4666461646556854,0.004586971830576658,0.009829657196392373,129.0,0.8064516186714172,0.19354838132858276,0.0,0.0,0.0,0.0,0.7088356614112854,8.052701559790876e-06,2.0644483811338432e-05,0.0002585315960459411,8.655194282531738,0.0,0.0,0.0,0.0,0.0,-202.3491973876953,203.4426727294922,-103.29388427734375,49.90510940551758,-1.1053645610809326,2533.423095703125,442.1261901855469,22.956083297729492,0.20656640827655792,0.06866920739412308,3.570570480650413,0.5854026206773167,0.5542729718708675,0.10899914801120758,0.0955234244465828,0.12650011479854584,0.035126034170389175,0.06160086765885353,0.056235164403915405,0.049536705017089844,0.13845065236091614,0.049937427043914795,0.10991524904966354,0.08539887517690659,0.08277618139982224,3.4768388271331787,0.0318954698741436,0.13845065236091614,0.10424227267503738,0.8349143862724304,0.0,-0.49999999999999983,0.8660254037844387
A160-149,129.19921875,1.1328537464141846,1.2231014966964722,0.4656890630722046,0.011722017079591751,0.02517133857999638,129.0,0.7142857313156128,0.15094339847564697,123.0,0.0634920671582222,0.19999998807907104,0.08888889190223474,1.5465912818908691,0.00044095772318542004,0.0015643357764929533,0.021548645570874214,7.936431407928467,0.0,0.0,0.0,0.0,0.0,-185.18214416503906,175.24061584472656,-43.33003234863281,31.536287307739258,-6.460917949676514,1936.0380859375,609.3920288085938,24.160493850708008,0.14472328126430511,0.09182722866535187,3.567399888035853,0.6180180104154436,0.5876336980786101,0.0946735292673111,0.07628555595874786,0.04385934770107269,0.2557744085788727,0.04860410466790199,0.10721830278635025,0.03257640823721886,0.07137207686901093,0.12668855488300323,0.02581837587058544,0.07942124456167221,0.03770811855792999,3.2787094116210938,0.060036759823560715,0.2557744085788727,0.11578039079904556,0.8753255009651184,0.0,-0.8660254037844387,0.49999999999999994
A174,114.84375,1.4742203950881958,1.322469711303711,0.7116916179656982,0.013288244605064392,0.018671351846249865,85.0,0.699999988079071,0.30000001192092896,0.0,0.0,0.0,0.0,1.8996422290802002,1.0044161626865389e-06,3.286010723968502e-06,5.728317773900926e-05,8.134565353393555,0.0,0.0,0.0,0.0,0.0,-269.8453369140625,128.44235229492188,-35.81269454956055,56.147796630859375,-8.154440879821777,3187.554931640625,1219.47998046875,21.509944915771484,0.1451844722032547,0.08834197372198105,3.582395384017191,0.5790508635837808,0.5761156772954137,0.10973647236824036,0.07309732586145401,0.06777776032686234,0.04663170501589775,0.10076047480106354,0.04354244843125343,0.07537928223609924,0.1080983430147171,0.03842270374298096,0.08180868625640869,0.06867153197526932,0.1860734075307846,3.446599006652832,0.03845371678471565,0.1860734075307846,0.10598484426736832,0.8669750094413757,1.0,0.8660254037844387,0.49999999999999994
MT0000004637,166.70866935483872,1.132833480834961,1.0189194679260254,0.36132511496543884,0.013494407758116722,0.037346996373079346,161.0,0.31707316637039185,0.21212124824523926,167.0,0.2804878056049347,0.0,0.8846153990756832,2.2186286449432373,1.912474999699043e-06,7.270165497175185e-06,0.00014534257934428751,7.933934688568115,0.0,0.0,0.0,0.0,0.0,-293.0151672363281,156.45108032226562,-47.743778228759766,24.86577796936035,4.242447376251221,2126.148193359375,399.5400390625,23.230867385864258,0.23034138977527618,0.08155698329210281,3.523947996755042,0.6122541631542557,0.6126817562990928,0.06552717834711075,0.16964414715766907,0.03237973898649216,0.13381829857826233,0.061774179339408875,0.21298721432685852,0.04511961713433266,0.049290694296360016,0.11087599396705627,0.037047650665044785,0.05946934595704079,0.022065812721848488,3.2709429264068604,0.05775659531354904,0.21298721432685852,0.11342472583055496,0.7074548602104187,0.0,1.0,0.0
MT0000008995,93.96306818181819,0.9704576730728149,0.5006539225578308,0.5735328793525696,0.08622708916664124,0.15034375930457267,92.0,0.29999998211860657,0.40000003576278687,129.0,0.14000000059604645,0.0,0.46666669646899084,3.354130983352661,7.567738862235274e-07,3.1271199532056926e-06,4.9129877879749984e-05,7.736993789672852,0.0,0.0,0.0,0.0,0.0,-322.8313293457031,167.8715362548828,-27.280900955200195,31.0989933013916,14.502826690673828,1584.4112548828125,553.0515747070312,25.509986877441406,0.23736128211021423,0.08261993527412415,3.575905252084015,0.5919287524768752,0.6028252200335501,0.05737494304776192,0.09269310534000397,0.046553291380405426,0.09271092712879181,0.07482204586267471,0.08395079523324966,0.12477507442235947,0.05960671603679657,0.1318926364183426,0.08224096894264221,0.10304765403270721,0.050331782549619675,3.5125949382781982,0.02644539065659046,0.1318926364183426,0.14372579753398895,0.8446796536445618,0.0,1.0,0.0
MT0000010219,107.666015625,0.9681757688522339,0.35359373688697815,0.5069689750671387,0.06478172540664673,0.12778242573535706,112.0,0.17543859779834747,0.2857142686843872,133.0,0.15789473056793213,0.6538461446762085,0.8999999575316909,3.283811569213867,1.951494050445035e-05,3.864551763399504e-05,0.0004283587622921914,9.274365425109863,0.0,0.0,0.0,0.0,0.0,-172.6742706298828,187.12257385253906,-50.8675537109375,32.10246658325195,-31.374492645263672,1904.4949951171875,402.4307861328125,26.43110466003418,0.24252848327159882,0.08096932619810104,3.5137840486877585,0.6119459148719207,0.5390834134754442,0.14344143867492676,0.09096239507198334,0.17128470540046692,0.042806364595890045,0.10378856956958771,0.10524127632379532,0.036548107862472534,0.05430121719837189,0.042015720158815384,0.09634262323379517,0.05779094621539116,0.05547633767127991,3.4173173904418945,0.04111363738775253,0.17128470540046692,0.1353665441274643,0.7517797946929932,0.0,0.5000000000000001,0.8660254037844386
